root          78  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-blkcg_punt_bio]
root          79  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-kintegrityd]
root          81  0.8  0.0      0     0 ?        S    12:19   3:08 [irq/9-acpi]
root          83  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-tpm_dev_wq]
root          85  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-ata_sff]
root          86  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_bitmap]
root          87  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_llbitmap_io]
root          88  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_llbitmap_unplug]
root          89  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-edac-poller]
root          90  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-devfreq_wq]
root          92  0.0  0.0      0     0 ?        S    12:19   0:00 [watchdogd]
root          93  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-quota_events_unbound]
root          94  0.0  0.0      0     0 ?        S    12:19   0:00 [kswapd0]
root          95  0.0  0.0      0     0 ?        S    12:19   0:00 [ecryptfs-kthread]
root          96  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-kthrotld]
root          97  0.0  0.0      0     0 ?        S    12:19   0:00 [irq/124-pciehp]
root          98  0.0  0.0      0     0 ?        S    12:19   0:00 [irq/125-pciehp]
root          99  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-acpi_thermal_pm]
root         103  0.0  0.0      0     0 ?        S    12:19   0:00 [hwrng]
root         105  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-mld]
root         106  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-ipv6_addrconf]
root         107  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-kstrp]
root         125  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-charger_manager]
root         187  0.0  0.0      0     0 ?        S    12:19   0:00 [irq/33-ELAN2514:00]
root         188  0.0  0.0      0     0 ?        S    12:19   0:03 [irq/118-ELAN072D:00]
root         192  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-ttm]
